timestamp_epoch_ms	direction	message
1789134165603	SYSTEM	扫描完成：1 个设备
1789134168229	SYSTEM	扫描完成：1 个设备
1789134170777	SYSTEM	扫描完成：0 个设备
1789134171814	SYSTEM	扫描完成：0 个设备
1789134174238	SYSTEM	扫描完成：0 个设备
1789134175327	SYSTEM	扫描完成：0 个设备
1789134177263	SYSTEM	扫描完成：1 个设备
1789134178423	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134178424	RX	Acknowledgement(sequence=1, duplicate=false)
1789134178426	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134178549	SYSTEM	V1 兼容握手通过：安全停止 ACK + STA
1789134179067	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134179067	RX	Acknowledgement(sequence=1, duplicate=false)
1789134179069	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134179567	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134179567	RX	Acknowledgement(sequence=1, duplicate=false)
1789134179568	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134180072	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134180073	RX	Acknowledgement(sequence=1, duplicate=false)
1789134180075	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134180570	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134180570	RX	Acknowledgement(sequence=1, duplicate=false)
1789134180572	RX	Status(sequence=1, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134181070	TX	<CMD,seq=1,move=S,turn=C,step_speed=60,servo=0>
1789134181070	RX	Acknowledgement(sequence=1, duplicate=false)
